Image,Label,Value
1.jpg,prefix,0
2.jpg,postfix,0
3.jpg,infix,0
4.jpg,prefix,0
5.jpg,postfix,0
6.jpg,infix,0
7.jpg,prefix,0
8.jpg,postfix,0
9.jpg,infix,0
10.jpg,prefix,1
11.jpg,postfix,1
12.jpg,infix,1
13.jpg,prefix,-1
14.jpg,postfix,-1
15.jpg,infix,-1
16.jpg,prefix,0
17.jpg,postfix,0
18.jpg,infix,0
19.jpg,prefix,0
20.jpg,postfix,0
21.jpg,infix,0
22.jpg,prefix,2
23.jpg,postfix,2
24.jpg,infix,2
25.jpg,prefix,-2
26.jpg,postfix,-2
27.jpg,infix,-2
28.jpg,prefix,0
29.jpg,postfix,0
30.jpg,infix,0
31.jpg,prefix,0
32.jpg,postfix,0
33.jpg,infix,0
34.jpg,prefix,3
35.jpg,postfix,3
36.jpg,infix,3
37.jpg,prefix,-3
38.jpg,postfix,-3
39.jpg,infix,-3
40.jpg,prefix,0
41.jpg,postfix,0
42.jpg,infix,0
43.jpg,prefix,0
44.jpg,postfix,0
45.jpg,infix,0
46.jpg,prefix,4
47.jpg,postfix,4
48.jpg,infix,4
49.jpg,prefix,-4
50.jpg,postfix,-4
51.jpg,infix,-4
52.jpg,prefix,0
53.jpg,postfix,0
54.jpg,infix,0
55.jpg,prefix,0
56.jpg,postfix,0
57.jpg,infix,0
58.jpg,prefix,5
59.jpg,postfix,5
60.jpg,infix,5
61.jpg,prefix,-5
62.jpg,postfix,-5
63.jpg,infix,-5
64.jpg,prefix,0
65.jpg,postfix,0
66.jpg,infix,0
67.jpg,prefix,0
68.jpg,postfix,0
69.jpg,infix,0
70.jpg,prefix,6
71.jpg,postfix,6
72.jpg,infix,6
73.jpg,prefix,-6
74.jpg,postfix,-6
75.jpg,infix,-6
76.jpg,prefix,0
77.jpg,postfix,0
78.jpg,infix,0
79.jpg,prefix,0
80.jpg,postfix,0
81.jpg,infix,0
82.jpg,prefix,7
83.jpg,postfix,7
84.jpg,infix,7
85.jpg,prefix,-7
86.jpg,postfix,-7
87.jpg,infix,-7
88.jpg,prefix,0
89.jpg,postfix,0
90.jpg,infix,0
91.jpg,prefix,0
92.jpg,postfix,0
93.jpg,infix,0
94.jpg,prefix,8
95.jpg,postfix,8
96.jpg,infix,8
97.jpg,prefix,-8
98.jpg,postfix,-8
99.jpg,infix,-8
100.jpg,prefix,0
101.jpg,postfix,0
102.jpg,infix,0
103.jpg,prefix,0
104.jpg,postfix,0
105.jpg,infix,0
106.jpg,prefix,9
107.jpg,postfix,9
108.jpg,infix,9
109.jpg,prefix,-9
110.jpg,postfix,-9
111.jpg,infix,-9
112.jpg,prefix,0
113.jpg,postfix,0
114.jpg,infix,0
115.jpg,prefix,0
116.jpg,postfix,0
117.jpg,infix,0
118.jpg,prefix,1
119.jpg,postfix,1
120.jpg,infix,1
121.jpg,prefix,1
122.jpg,postfix,1
123.jpg,infix,1
124.jpg,prefix,0
125.jpg,postfix,0
126.jpg,infix,0
127.jpg,prefix,2
128.jpg,postfix,2
129.jpg,infix,2
130.jpg,prefix,0
131.jpg,postfix,0
132.jpg,infix,0
133.jpg,prefix,1
134.jpg,postfix,1
135.jpg,infix,1
136.jpg,prefix,1
137.jpg,postfix,1
138.jpg,infix,1
139.jpg,prefix,3
140.jpg,postfix,3
141.jpg,infix,3
142.jpg,prefix,-1
143.jpg,postfix,-1
144.jpg,infix,-1
145.jpg,prefix,2
146.jpg,postfix,2
147.jpg,infix,2
148.jpg,prefix,4
149.jpg,postfix,4
150.jpg,infix,4
151.jpg,prefix,-2
152.jpg,postfix,-2
